maṇḍala,sūkta,ṛca,m-s-r,m-s,ṛṣi,devatā,chandaḥ
1,1,1,1-1-1,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,2,1-1-2,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,3,1-1-3,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,4,1-1-4,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,5,1-1-5,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,6,1-1-6,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,7,1-1-7,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,8,1-1-8,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,1,9,1-1-9,1 - 1,madhucchandāḥ vaiśvāmitraḥ,agniḥ,gāyatrī
1,2,1,1-2-1,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,2,1-2-2,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,3,1-2-3,1 - 2,madhucchandāḥ vaiśvāmitraḥ,vāyuḥ,gāyatrī
1,2,4,1-2-4,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,5,1-2-5,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,6,1-2-6,1 - 2,madhucchandāḥ vaiśvāmitraḥ,indravāyū,gāyatrī
1,2,7,1-2-7,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,2,8,1-2-8,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,2,9,1-2-9,1 - 2,madhucchandāḥ vaiśvāmitraḥ,mitrāvaruṇo,gāyatrī
1,3,1,1-3-1,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,2,1-3-2,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,3,1-3-3,1 - 3,madhucchandāḥ vaiśvāmitraḥ,aśvino,gāyatrī
1,3,4,1-3-4,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,5,1-3-5,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,6,1-3-6,1 - 3,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,3,7,1-3-7,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,8,1-3-8,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,9,1-3-9,1 - 3,madhucchandāḥ vaiśvāmitraḥ,viśvedevāḥ,gāyatrī
1,3,10,1-3-10,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,3,11,1-3-11,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,3,12,1-3-12,1 - 3,madhucchandāḥ vaiśvāmitraḥ,sarasvatī,gāyatrī
1,4,1,1-4-1,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,2,1-4-2,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
1,4,3,1-4-3,1 - 4,madhucchandāḥ vaiśvāmitraḥ,indraḥ,gāyatrī
