maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha,
5,1,1,a,5-1-1-A,abodhy agniḥ samidhā janānām prati dhenum ivāyatīm uṣāsam,Agni is wakened by the people's fuel to meet the Dawn who cometh like a milch-cow.,अबोध्यग्निः समिधा जनानां प्रति धेनुमिवायतीमुषासम्,5-1-1,abodhi | agniḥ | sam-idhā | janānām | prati | dhenum-iva | ā-yatīm | uṣasam || yahvāḥ-iva | pra | vayām | ut-jihānāḥ | pra | bhānavaḥ | sisrate | nākam | accha ||5.1.1||,
5,1,1,b,5-1-1-B,yahvā iva pra vayām ujjihānāḥ pra bhānavaḥ sisrate nākam accha,"Like young trees shooting up on high their branches, his flames are rising to the vault of heaven.",यह्वा इव प्र वयामुज्जिहानाः प्र भानवः सिस्रते नाकमच्छ,5-1-1,abodhi | agniḥ | sam-idhā | janānām | prati | dhenum-iva | ā-yatīm | uṣasam || yahvāḥ-iva | pra | vayām | ut-jihānāḥ | pra | bhānavaḥ | sisrate | nākam | accha ||5.1.1||,
5,1,2,a,5-1-2-A,abodhi hotā yajathāya devān ūrdhvo agniḥ sumanāḥ prātar asthāt,For worship of the Gods the Priest was wakened: at morning gracious Agni hath arisen.,अबोधि होता यजथाय देवानूर्ध्वो अग्निः सुमनाः प्रातरस्थात्,5-1-2,abodhi | hotā | yajathāya | devān | ūrdhvaḥ | agniḥ | su-manāḥ | prātaḥ | asthāt || sam-iddhasya | ruśat | adarśi | pājaḥ | mahān | devaḥ | tamasaḥ | niḥ | amoci ||5.1.2||,
5,1,2,b,5-1-2-B,samiddhasya ruśad adarśi pājo mahān devas tamaso nir amoci,"Kindled, his radiant might is made apparent, and the great Deity set free from darkness.",समिद्धस्य रुशददर्शि पाजो महान्देवस्तमसो निरमोचि,5-1-2,abodhi | hotā | yajathāya | devān | ūrdhvaḥ | agniḥ | su-manāḥ | prātaḥ | asthāt || sam-iddhasya | ruśat | adarśi | pājaḥ | mahān | devaḥ | tamasaḥ | niḥ | amoci ||5.1.2||,
5,1,3,a,5-1-3-A,yad īṁ gaṇasya raśanām ajīgaḥ śucir aṅkte śucibhir gobhir agniḥ,"When he hath stirred the line of his attendants, with the pure milk pure Agni is anointed.",यदीं गणस्य रशनामजीगः शुचिरङ्क्ते शुचिभिर्गोभिरग्निः,5-1-3,yat | īm | gaṇasya | raśanām | ajīgariti | śuciḥ | aṅkte | śuci-bhiḥ | gobhiḥ | agniḥ || āt | dakṣiṇā | yujyate | vāja-yantī | uttānām | ūrdhvaḥ | adhayat | juhūbhiḥ ||5.1.3||,
5,1,3,b,5-1-3-B,ād dakṣiṇā yujyate vājayanty uttānām ūrdhvo adhayaj juhūbhiḥ,"The strength-bestowing gift is then made ready, which spread in front, with tongues, erect, he drinketh",आद्दक्षिणा युज्यते वाजयन्त्युत्तानामूर्ध्वो अधयज्जुहूभिः,5-1-3,yat | īm | gaṇasya | raśanām | ajīgariti | śuciḥ | aṅkte | śuci-bhiḥ | gobhiḥ | agniḥ || āt | dakṣiṇā | yujyate | vāja-yantī | uttānām | ūrdhvaḥ | adhayat | juhūbhiḥ ||5.1.3||,
5,1,4,a,5-1-4-A,agnim acchā devayatām manāṁsi cakṣūṁṣīva sūrye saṁ caranti,"The spirits of the pious turn together to Agni, as the eyes of all to Surya.",अग्निमच्छा देवयतां मनांसि चक्षूंषीव सूर्ये सं चरन्ति,5-1-4,agnim | accha | deva-yatām | manāṁsi | cakṣūṁṣi-iva | sūrye | sam | caranti || yat | īm | suvāte iti | uṣasā | virūpe iti vi-rūpe | śvetaḥ | vājī | jāyate | agre | ahnām ||5.1.4||,
5,1,4,b,5-1-4-B,yad īṁ suvāte uṣasā virūpe śveto vājī jāyate agre ahnām,"He, when both Dawns of different hues have borne him, springs up at daybreak as a strong white charger.",यदीं सुवाते उषसा विरूपे श्वेतो वाजी जायते अग्रे अह्नाम्,5-1-4,agnim | accha | deva-yatām | manāṁsi | cakṣūṁṣi-iva | sūrye | sam | caranti || yat | īm | suvāte iti | uṣasā | virūpe iti vi-rūpe | śvetaḥ | vājī | jāyate | agre | ahnām ||5.1.4||,
5,1,5,a,5-1-5-A,janiṣṭa hi jenyo agre ahnāṁ hito hiteṣv aruṣo vaneṣu,"The noble One was born at days' beginning, laid red in colour mid the well-laid fuel.",जनिष्ट हि जेन्यो अग्रे अह्नां हितो हितेष्वरुषो वनेषु,5-1-5,janiṣṭa | hi | jenyaḥ | agre | ahnām | hitaḥ | hiteṣu | aruṣaḥ | vaneṣu || dame-dame | sapta | ratnā | dadhānaḥ | agniḥ | hotā | ni | sasāda | yajīyān ||5.1.5||,
5,1,5,b,5-1-5-B,dame-dame sapta ratnā dadhāno 'gnir hotā ni ṣasādā yajīyān,"Yielding in every house his seven rich treasures, Agni is seated, Priest most skilled in worship.",दमेदमे सप्त रत्ना दधानोऽग्निर्होता नि षसादा यजीयान्,5-1-5,janiṣṭa | hi | jenyaḥ | agre | ahnām | hitaḥ | hiteṣu | aruṣaḥ | vaneṣu || dame-dame | sapta | ratnā | dadhānaḥ | agniḥ | hotā | ni | sasāda | yajīyān ||5.1.5||,
