maṇḍala,sūkta,ṛca,paṅktī,index,IAST,Griffith,Devanāgarī,m-s-r,pada pāṭha
8,1,1,a,8-1-1-A,mā cid anyad vi śaṁsata sakhāyo mā riṣaṇyata,"GLORIFY naught besides, O friends; so shall no sorrow trouble you.",मा चिदन्यद्वि शंसत सखायो मा रिषण्यत,8-1-1,mā | cit | anyat | vi | śaṁsata | sakhāyaḥ | mā | riṣaṇyata || indram | it | stota | vr̥ṣaṇam | sacā | sute | muhuḥ | ukthā | ca | śaṁsata ||8.1.1||
8,1,1,b,8-1-1-B,indram it stotā vṛṣaṇaṁ sacā sute muhur ukthā ca śaṁsata,"Praise only mighty Indra when the juice is shed, and say your lauds repeatedly:",इन्द्रमित्स्तोता वृषणं सचा सुते मुहुरुक्था च शंसत ,8-1-1,mā | cit | anyat | vi | śaṁsata | sakhāyaḥ | mā | riṣaṇyata || indram | it | stota | vr̥ṣaṇam | sacā | sute | muhuḥ | ukthā | ca | śaṁsata ||8.1.1||
8,1,2,a,8-1-2-A,avakrakṣiṇaṁ vṛṣabhaṁ yathājuraṁ gāṁ na carṣaṇīsaham,"Even him, eternal, like a bull who rushes down, men's Conqueror, bounteous like a cow;",अवक्रक्षिणं वृषभं यथाजुरं गां न चर्षणीसहम्,8-1-2,ava-krakṣiṇam | vr̥ṣabham | yathā | ajuram | gām | na | carṣaṇi-saham || vi-dveṣaṇam | sam-vananā | ubhayam-karam | maṁhiṣṭham | ubhayāvinam ||8.1.2||
8,1,2,b,8-1-2-B,vidveṣaṇaṁ saṁvananobhayaṁkaram maṁhiṣṭham ubhayāvinam,"Him who is cause of both, of enmity and peace, to both sides most munificent.",विद्वेषणं संवननोभयंकरं मंहिष्ठमुभयाविनम् ,8-1-2,ava-krakṣiṇam | vr̥ṣabham | yathā | ajuram | gām | na | carṣaṇi-saham || vi-dveṣaṇam | sam-vananā | ubhayam-karam | maṁhiṣṭham | ubhayāvinam ||8.1.2||
8,1,3,a,8-1-3-A,yac cid dhi tvā janā ime nānā havanta ūtaye,"Although these men in sundry ways invoke thee to obtain thine aid,",यच्चिद्धि त्वा जना इमे नाना हवन्त ऊतये,8-1-3,yat | cit | hi | tvā | janāḥ | ime | nānā | havante | ūtaye || asmākam | brahma | idam | indra | bhūtu | te | ahā | viśvā | ca | vardhanam ||8.1.3||
8,1,3,b,8-1-3-B,asmākam brahmedam indra bhūtu te 'hā viśvā ca vardhanam,"Be this our prayer, addressed, O Indra, unto thee, thine exaltation every day.",अस्माकं ब्रह्मेदमिन्द्र भूतु तेऽहा विश्वा च वर्धनम् ,8-1-3,yat | cit | hi | tvā | janāḥ | ime | nānā | havante | ūtaye || asmākam | brahma | idam | indra | bhūtu | te | ahā | viśvā | ca | vardhanam ||8.1.3||
8,1,4,a,8-1-4-A,vi tartūryante maghavan vipaścito 'ryo vipo janānām,"Those skilled in song, O Maghavan among these men o'ercome with might the foeman's songs.",वि तर्तूर्यन्ते मघवन्विपश्चितोऽर्यो विपो जनानाम्,8-1-4,vi | tartūryante | magha-van | vipaḥ-citaḥ | aryaḥ | vipaḥ | janānām || upa | kramasva | puru-rūpam | ā | bhara | vājam | nediṣṭham | ūtaye ||8.1.4||
8,1,4,b,8-1-4-B,upa kramasva pururūpam ā bhara vājaṁ nediṣṭham ūtaye,"Come hither, bring us strength in many a varied form most near that it may succour us.",उप क्रमस्व पुरुरूपमा भर वाजं नेदिष्ठमूतये ,8-1-4,vi | tartūryante | magha-van | vipaḥ-citaḥ | aryaḥ | vipaḥ | janānām || upa | kramasva | puru-rūpam | ā | bhara | vājam | nediṣṭham | ūtaye ||8.1.4||
8,1,5,a,8-1-5-A,mahe cana tvām adrivaḥ parā śulkāya deyām,"O Caster of the Stone, I would not sell thee for a mighty price,",महे चन त्वामद्रिवः परा शुल्काय देयाम्,8-1-5,mahe | cana | tvām | adri-vaḥ | parā | śulkāya | deyām || na | sahasrāya | na | ayutāya | vajri-vaḥ | na | śatāya | śata-magha ||8.1.5||
8,1,5,b,8-1-5-B,na sahasrāya nāyutāya vajrivo na śatāya śatāmagha,"Not for a thousand, Thunderer! nor ten thousand, nor a hundred, Lord of countless wealth!",न सहस्राय नायुताय वज्रिवो न शताय शतामघ ,8-1-5,mahe | cana | tvām | adri-vaḥ | parā | śulkāya | deyām || na | sahasrāya | na | ayutāya | vajri-vaḥ | na | śatāya | śata-magha ||8.1.5||
8,1,6,a,8-1-6-A,vasyām̐ indrāsi me pitur uta bhrātur abhuñjataḥ,"O Indra, thou art more to me than sire or niggard brother is.",वस्याँ इन्द्रासि मे पितुरुत भ्रातुरभुञ्जतः,8-1-6,vasyān | indra | asi | me | pituḥ | uta | bhrātuḥ | abhuñjataḥ || mātā | ca | me | chadayathaḥ | samā | vaso iti | vasu-tvanāya | rādhase ||8.1.6||
8,1,6,b,8-1-6-B,mātā ca me chadayathaḥ samā vaso vasutvanāya rādhase,"Thou and my mother, O Good Lord, appear alike, to give me wealth abundantly.",माता च मे छदयथः समा वसो वसुत्वनाय राधसे ,8-1-6,vasyān | indra | asi | me | pituḥ | uta | bhrātuḥ | abhuñjataḥ || mātā | ca | me | chadayathaḥ | samā | vaso iti | vasu-tvanāya | rādhase ||8.1.6||
8,1,7,a,8-1-7-A,kveyatha kved asi purutrā cid dhi te manaḥ,Where art thou? Whither art thou gone? For many a place attracts thy mind.,क्वेयथ क्वेदसि पुरुत्रा चिद्धि ते मनः,8-1-7,kva | iyatha | kva | it | asi | puru-trā | cit | hi | te | manaḥ || alarṣi | yudhma | khaja-kr̥t | puram-dara | pra | gāyatrāḥ | agāsiṣuḥ ||8.1.7||
8,1,7,b,8-1-7-B,alarṣi yudhma khajakṛt puraṁdara pra gāyatrā agāsiṣuḥ,"Haste, Warrior, Fort-destroyer, Lord of battle's din, haste, holy songs have sounded forth.",अलर्षि युध्म खजकृत्पुरंदर प्र गायत्रा अगासिषुः ,8-1-7,kva | iyatha | kva | it | asi | puru-trā | cit | hi | te | manaḥ || alarṣi | yudhma | khaja-kr̥t | puram-dara | pra | gāyatrāḥ | agāsiṣuḥ ||8.1.7||
8,1,8,a,8-1-8-A,prāsmai gāyatram arcata vāvātur yaḥ puraṁdaraḥ,"Sing out the psalm to him who breaks down castles for his faithful friend,",प्रास्मै गायत्रमर्चत वावातुर्यः पुरंदरः,8-1-8,pra | asmai | gāyatram | arcata | vavātuḥ | yaḥ | param-daraḥ || yābhiḥ | kāṇvasya | upa | barhiḥ | ā-sadam | yāsat | vajrī | bhinat | puraḥ ||8.1.8||
8,1,8,b,8-1-8-B,yābhiḥ kāṇvasyopa barhir āsadaṁ yāsad vajrī bhinat puraḥ,Verses to bring the Thunderer to destroy the forts and sit on Kanva's sacred grass.,याभिः काण्वस्योप बर्हिरासदं यासद्वज्री भिनत्पुरः ,8-1-8,pra | asmai | gāyatram | arcata | vavātuḥ | yaḥ | param-daraḥ || yābhiḥ | kāṇvasya | upa | barhiḥ | ā-sadam | yāsat | vajrī | bhinat | puraḥ ||8.1.8||
8,1,9,a,8-1-9-A,ye te santi daśagvinaḥ śatino ye sahasriṇaḥ,"The Horses which are thine in tens, in hundreds, yea, in thousands thine,",ये ते सन्ति दशग्विनः शतिनो ये सहस्रिणः,8-1-9,ye | te | santi | daśa-gvinaḥ | śatinaḥ | ye | sahasriṇaḥ || aśvāsaḥ | ye | te | vr̥ṣaṇaḥ | raghu-druvaḥ | tebhiḥ | naḥ | tūyam | ā | gahi ||8.1.9||
8,1,9,b,8-1-9-B,aśvāso ye te vṛṣaṇo raghudruvas tebhir nas tūyam ā gahi,"Even those vigorous Steeds, fleet-footed in the course, with those come quickly near to us.",अश्वासो ये ते वृषणो रघुद्रुवस्तेभिर्नस्तूयमा गहि ,8-1-9,ye | te | santi | daśa-gvinaḥ | śatinaḥ | ye | sahasriṇaḥ || aśvāsaḥ | ye | te | vr̥ṣaṇaḥ | raghu-druvaḥ | tebhiḥ | naḥ | tūyam | ā | gahi ||8.1.9||
8,1,10,a,8-1-10-A,ā tv adya sabardughāṁ huve gāyatravepasam,"This day I call Sabardugiha who animates the holy song,",आ त्वद्य सबर्दुघां हुवे गायत्रवेपसम्,8-1-10,ā | tu | adya | sabaḥ-dughām | huve | gāyatra-vepasam || indram | dhenum | su-dughām | anyām | iṣam | uru-dhārām | aram-kr̥tam ||8.1.10||
8,1,10,b,8-1-10-B,indraṁ dhenuṁ sudughām anyām iṣam urudhārām araṁkṛtam,Indra the richly-yielding Milch-cow who provides unfailing food in ample stream.,इन्द्रं धेनुं सुदुघामन्यामिषमुरुधारामरंकृतम् ,8-1-10,ā | tu | adya | sabaḥ-dughām | huve | gāyatra-vepasam || indram | dhenum | su-dughām | anyām | iṣam | uru-dhārām | aram-kr̥tam ||8.1.10||
8,1,11,a,8-1-11-A,yat tudat sūra etaśaṁ vaṅkū vātasya parṇinā,"When Sura wounded Etasa, with Vata's rolling winged car.",यत्तुदत्सूर एतशं वङ्कू वातस्य पर्णिना,8-1-11,yat | tudat | sūraḥ | etaśam | vaṅkū iti | vātasya | parṇinā || vahat | kutsam | ārjuneyam | śata-kratuḥ | tsarat | gandharvam | astr̥tam ||8.1.11||
8,1,11,b,8-1-11-B,vahat kutsam ārjuneyaṁ śatakratuḥ tsarad gandharvam astṛtam,"Indra bore Kutsa Arjuneya off, and mocked Gandharva. the unconquered One.",वहत्कुत्समार्जुनेयं शतक्रतुः त्सरद्गन्धर्वमस्तृतम् ,8-1-11,yat | tudat | sūraḥ | etaśam | vaṅkū iti | vātasya | parṇinā || vahat | kutsam | ārjuneyam | śata-kratuḥ | tsarat | gandharvam | astr̥tam ||8.1.11||
8,1,12,a,8-1-12-A,ya ṛte cid abhiśriṣaḥ purā jatrubhya ātṛdaḥ,"He without ligature, before making incision in the neck,",य ऋते चिदभिश्रिषः पुरा जत्रुभ्य आतृदः,8-1-12,yaḥ | r̥te | cit | abhi-śriṣaḥ | purā | jatru-bhyaḥ | ā-tr̥daḥ || sam-dhātā | sam-dhim | magha-vā | puru-vasuḥ | iṣkartā | vi-hrutam | punariti ||8.1.12||
8,1,12,b,8-1-12-B,saṁdhātā saṁdhim maghavā purūvasur iṣkartā vihrutam punaḥ,"Closed up the wound again, most wealthy Maghavan, who maketh whole the injured part.",संधाता संधिं मघवा पुरूवसुरिष्कर्ता विह्रुतं पुनः ,8-1-12,yaḥ | r̥te | cit | abhi-śriṣaḥ | purā | jatru-bhyaḥ | ā-tr̥daḥ || sam-dhātā | sam-dhim | magha-vā | puru-vasuḥ | iṣkartā | vi-hrutam | punariti ||8.1.12||
8,1,13,a,8-1-13-A,mā bhūma niṣṭyā ivendra tvad araṇā iva,"May we be never cast aside, and strangers, as it were, to thee.",मा भूम निष्ट्या इवेन्द्र त्वदरणा इव,8-1-13,mā | bhūma | niṣṭyāḥ-iva | indra | tvat | araṇāḥ-iva || vanāni | na | pra-jahitāni | adri-vaḥ | duroṣāsaḥ | amanmahi ||8.1.13||
8,1,13,b,8-1-13-B,vanāni na prajahitāny adrivo duroṣāso amanmahi,"We, Thunder-wielding Indra, count ourselves as trees rejected and unfit to burn.",वनानि न प्रजहितान्यद्रिवो दुरोषासो अमन्महि ,8-1-13,mā | bhūma | niṣṭyāḥ-iva | indra | tvat | araṇāḥ-iva || vanāni | na | pra-jahitāni | adri-vaḥ | duroṣāsaḥ | amanmahi ||8.1.13||
8,1,14,a,8-1-14-A,amanmahīd anāśavo 'nugrāsaś ca vṛtrahan,"O Vrtra-slayer, we were thought slow and unready for the fray.",अमन्महीदनाशवोऽनुग्रासश्च वृत्रहन्,8-1-14,amanmahi | it | anāśavaḥ | anugrāsaḥ | ca | vr̥tra-han || sakr̥t | su | te | mahatā | śūra | rādhasā | anu | stomam | mudīmahi ||8.1.14||
8,1,14,b,8-1-14-B,sakṛt su te mahatā śūra rādhasā anu stomam mudīmahi,"Yet once in thy great bounty may we have delight, O Hero, after praising thee.",सकृत्सु ते महता शूर राधसा अनु स्तोमं मुदीमहि ,8-1-14,amanmahi | it | anāśavaḥ | anugrāsaḥ | ca | vr̥tra-han || sakr̥t | su | te | mahatā | śūra | rādhasā | anu | stomam | mudīmahi ||8.1.14||
8,1,15,a,8-1-15-A,yadi stomam mama śravad asmākam indram indavaḥ,"If he will listen to my laud, then may out Soma-drops that flow",यदि स्तोमं मम श्रवदस्माकमिन्द्रमिन्दवः,8-1-15,yadi | stomam | mama | śravat | asmākam | indram | indavaḥ || tiraḥ | pavitram | sasr̥-vāṁsaḥ | āśavaḥ | mandantu | tugrya-vr̥dhaḥ ||8.1.15||
8,1,15,b,8-1-15-B,tiraḥ pavitraṁ sasṛvāṁsa āśavo mandantu tugryāvṛdhaḥ,"Rapidly through the strainer gladden Indra, drops due to the Tugryas' Strengthener.",तिरः पवित्रं ससृवांस आशवो मन्दन्तु तुग्र्यावृधः ,8-1-15,yadi | stomam | mama | śravat | asmākam | indram | indavaḥ || tiraḥ | pavitram | sasr̥-vāṁsaḥ | āśavaḥ | mandantu | tugrya-vr̥dhaḥ ||8.1.15||
8,1,16,a,8-1-16-A,ā tv adya sadhastutiṁ vāvātuḥ sakhyur ā gahi,Come now unto the common laud of thee and of thy faithful friend.,आ त्वद्य सधस्तुतिं वावातुः सख्युरा गहि,8-1-16,ā | tu | adya | sadha-stutim | vavātuḥ | sakhyuḥ | ā | gahi || upa-stutiḥ | maghonām | pra | tvā | avatu | adha | te | vaśmi | su-stutim ||8.1.16||
8,1,16,b,8-1-16-B,upastutir maghonām pra tvāvatv adhā te vaśmi suṣṭutim,So may our wealthy nobles' praise give joy to thee. Fain would I sing thine eulogy.,उपस्तुतिर्मघोनां प्र त्वावत्वधा ते वश्मि सुष्टुतिम् ,8-1-16,ā | tu | adya | sadha-stutim | vavātuḥ | sakhyuḥ | ā | gahi || upa-stutiḥ | maghonām | pra | tvā | avatu | adha | te | vaśmi | su-stutim ||8.1.16||
